id;code;nom
1;consequently pfft;briskly over
2;excepting how;unbalance coil
3;irritably next;besides
4;wide;coagulate pish aw
5;catalyst;asset
6;starch plus;rule rationale
7;whose finally;willfully times char
8;except noxious;conceal or
9;solder knavishly;for
10;above but;turbulent runny majestically
11;hmph gee;and
12;tense;so huzzah
13;smoothly ah whether;representation
14;boo forenenst necessary;kindheartedly
15;what geez;whereas suddenly distinction
16;during;than midst
17;scamper crushing whoever;cram softly
18;gadzooks;blank
19;gosh eek eek;curiously release
20;poorly inquisitively exterior;lest brr
21;whether misjudge;epic murky yahoo
22;acidic notarize;dilate
23;advanced likewise while;configuration
24;underpants;now adjudge throughout
25;ha whopping drat;enormously even trustworthy
26;instead although;wasteful
27;bah who rule;nervously and why
28;beneath of wherever;mixed
29;rotten dreamily;and towards
30;mobility smoke;because resolve before
