id;code;nom;adresse;telephone;actif
1;accidentally um;or doubtfully;tensely out whereas;494-447-9122 x55443;false
2;retract loudly hippodrome;replacement while;bank worth burdensome;1-456-457-5372 x1715;false
3;stay mild rarely;uh-huh;duh whoa;330.674.9264 x21730;false
4;wilderness oof christen;swat;muddy phooey;(571) 946-2791 x774;true
5;shred adventurously;whose furthermore;hollow following calculating;285-808-2465;false
6;deflate classic;earnest though irritably;beyond junior;(248) 763-7699 x7631;true
7;bah;astride yum ack;drive sadly except;1-463-963-4154 x818;true
8;than;now bump word;properly blushing;1-365-395-3975 x767;true
9;until darn but;owlishly;absent abaft lamp;1-213-906-2192 x212;false
10;inside;poorly;sense tense;270-646-6369 x20509;true
11;ruddy;indeed gosh hmph;spice remarkable curiously;(598) 923-3972 x5263;false
12;ew waltz unless;monster;perfectly yahoo comfortable;677.357.3049 x09854;false
13;up stitcher upon;honestly;actually;983.876.0327;false
14;unblinking;clearly over reward;rim;(752) 425-1895 x40036;false
15;arrogantly off economise;furthermore intently;anenst duh especially;(840) 852-2674 x240;false
16;frugal;gah festival wherever;besmirch demob;(357) 206-3582 x28250;false
17;ah er secularize;avaricious;fooey towards until;764-544-7771 x036;true
18;avow kosher;fat whistle imaginative;amid furthermore;(940) 785-5592;true
19;teriyaki bah unripe;given openly misguided;another meanwhile;708.827.3140 x40860;false
20;physically;wonderfully sternly;ugh helplessly apud;828-781-1333;false
21;lost adumbrate apropos;likewise;lest gracefully under;599-978-2635;false
22;phooey yet considering;huzzah turret;vice contrail after;386-651-4674;false
23;notarize;rural;geez reluctantly hence;(346) 848-5724 x017;false
24;why epic;while blah;howl lest;622.712.2788;true
25;hence;pfft;inhibit;(672) 279-9203 x77571;false
26;yippee father;fatally provided ack;an;(670) 685-4615 x45104;true
27;as;anenst vaguely underneath;lively;301-854-2495 x3748;true
28;plus;breed under;adjudge coliseum;1-238-224-0606 x0255;false
29;whenever;bewail;zowie;1-900-258-7825 x02106;false
30;however uh-huh;on under;humidity meanwhile;1-498-292-2687 x0599;true
