id;nom;type
1;ravioli utterly boohoo;AS
2;including;AS
3;yieldingly;AS
4;place on dislocate;AS
5;upon;AS
6;fully unabashedly strait;AS
7;with guacamole lovable;OA
8;after passionate;AS
9;tense pointless;OA
10;tarry brochure;OA
11;behind gadzooks;AS
12;and zowie jubilantly;OA
13;upwardly urgently kindly;AS
14;why proud scout;OA
15;mmm;OA
16;whup;OA
17;bah yearly;AS
18;metabolise selfishly;AS
19;longingly whenever;AS
20;down qua;AS
21;the founder overwork;OA
22;anneal able;OA
23;quietly ugh own;AS
24;nasalise;AS
25;anenst apud;AS
26;construe given heavenly;OA
27;extra-large ugh meh;OA
28;instead;AS
29;oh longboat swing;OA
30;exhaust;AS
