id;titre;message;date_creation;date_lecture;lu;type;utilisateur_id
1;pinion oddly among;service inveigle;2026-09-09T21:18:30;2026-09-10T02:56:54;true;ECHEANCE_PROCHE;1
2;yippee;gosh;2026-09-09T11:17:11;2026-09-09T18:20:52;true;DEMANDE_VALIDEE;2
3;bungalow;slight confiscate;2026-09-09T11:41:24;2026-09-10T04:49:53;false;DEMANDE_MODIFIEE;1
4;polyester;via zowie how;2026-09-09T16:29:59;2026-09-09T14:19:44;false;DEMANDE_MODIFIEE;2
5;woot foolish concerning;exaggerate swiftly;2026-09-09T23:13:20;2026-09-09T10:33:58;true;NOUVELLE_DEMANDE;2
6;generously;what accompany;2026-09-09T17:57:37;2026-09-09T08:36:38;false;INFORMATION;1
7;interchange anti insecure;clear keenly likewise;2026-09-09T23:21:57;2026-09-09T12:25:11;true;DEMANDE_VALIDEE;2
8;slime silently or;scientific showboat gown;2026-09-09T14:01:27;2026-09-09T12:41:10;true;DEMANDE_VALIDEE;2
9;proud proliferate chap;whenever ouch until;2026-09-09T18:20:27;2026-09-09T13:02:38;false;NOUVELLE_DEMANDE;2
10;whereas;ew sinful;2026-09-09T16:01:06;2026-09-09T11:27:15;false;INFORMATION;2
11;vet information;weary;2026-09-10T00:28:48;2026-09-09T12:41:14;true;DEMANDE_MODIFIEE;2
12;though behind;gadzooks newsstand phew;2026-09-09T10:57:16;2026-09-09T11:52:43;false;DEMANDE_MODIFIEE;1
13;into council cope;after opposite appropriate;2026-09-09T22:51:07;2026-09-10T03:53:24;true;INFORMATION;1
14;wash;powerfully woot casement;2026-09-10T07:40:38;2026-09-09T15:47:20;false;NOUVELLE_DEMANDE;1
15;yet;once now;2026-09-09T10:16:44;2026-09-09T23:46:41;true;DEMANDE_MODIFIEE;1
16;ew extract dime;enrage waterspout;2026-09-10T04:28:07;2026-09-09T18:21:45;true;DEMANDE_MODIFIEE;2
17;affectionate amidst;ick;2026-09-09T13:49:00;2026-09-09T13:18:56;false;DEMANDE_REJETEE;1
18;blah spectacles;inasmuch that;2026-09-10T05:12:09;2026-09-10T00:23:17;true;ECHEANCE_PROCHE;1
19;ham shell;whether;2026-09-09T11:41:26;2026-09-09T12:24:50;true;DEMANDE_VALIDEE;1
20;between;absentmindedly edge;2026-09-09T16:36:38;2026-09-09T19:45:46;true;DEMANDE_ASSIGNEE;1
21;hm duh;usually filthy;2026-09-09T17:50:42;2026-09-10T05:41:36;true;DEMANDE_VALIDEE;1
22;because phooey fully;ceramic bah briefly;2026-09-09T18:24:19;2026-09-09T12:26:42;true;DEMANDE_MODIFIEE;1
23;ack;lampoon wherever through;2026-09-09T13:28:19;2026-09-09T11:27:37;true;NOUVELLE_TACHE;2
24;abaft for subsidy;throughout;2026-09-10T08:03:10;2026-09-10T04:47:07;true;INFORMATION;1
25;following;harmful even;2026-09-09T22:09:28;2026-09-10T01:28:45;false;DEMANDE_ASSIGNEE;2
26;within atop because;loaf carefully;2026-09-09T19:04:16;2026-09-09T23:04:42;true;DEMANDE_ASSIGNEE;2
27;versus stint;except;2026-09-09T21:40:00;2026-09-10T05:30:02;false;DEMANDE_REJETEE;2
28;while;middle except mostly;2026-09-09T21:22:10;2026-09-09T19:19:49;true;DEMANDE_REJETEE;2
29;failing gadzooks;hourly troubled viability;2026-09-09T08:57:06;2026-09-10T00:35:31;true;ECHEANCE_PROCHE;1
30;which probate loose;ha within object;2026-09-10T06:49:36;2026-09-09T22:26:32;true;DEMANDE_MODIFIEE;1
