id;libelle;description;actif
1;fluctuate among ick;drat especially;true
2;how ack;in evenly worthless;true
3;draft;founder;false
4;circa cloudy boiling;cease wherever homely;true
5;lovingly;warmly well-to-do;true
6;following dereference;loftily unless round;false
7;meh;camouflage mixture till;true
8;palate unknown eek;rewarding wetly peninsula;false
9;homeschool stunning;kiddingly overproduce castanet;false
10;although countess;phew;false
11;er athwart in-joke;lest or;false
12;uselessly tender;astride;false
13;mortally bah;instead whoa;true
14;halt;for jungle exalted;false
15;unfortunately oddly suspension;outlying;false
16;atrium lost;appreciate annually;false
17;yippee saloon;but;true
18;underneath;carouse;true
19;mmm;notwithstanding duh;true
20;swear redact preside;qua;true
21;thoroughly championship but;space inasmuch dock;false
22;although;beneath er;true
23;wide;now;true
24;controvert;whose atop;true
25;segregate although;bah;false
26;searchingly aha;finally psst hole;true
27;hmph in-joke;geez off;false
28;ouch despite whereas;pish punctually actually;true
29;interestingly schedule cautiously;gosh delicious;true
30;truthfully innocently;safeguard;true
